Client,Signal Type,Account Name,Account Type,Account Crm Id,Signal Recipient Name,Signal Recipient Email,Signal Recipient Crm Id,Account Observer Name,Account Observer Email,Account Observer Crm Id,Extra Field 1,Extra Field 2,Extra Field 3,Extra Field 4,Extra Field 5,Stakeholder Current Company,Stakeholder First Name,Stakeholder Last Name,Stakeholder Current Title,Stakeholder Time In Current Role,Stakeholder Current Email,Email Status,Previous Account Left,Previous Title,Link To Signal,Stakeholder Geography,Stakeholder City,Stakeholder State,Stakeholder Country,Signal Issue Date,Source,Number Of Roles Ago,Year Of Departure,Current Account City,Current Account State,Current Account Country,Current Account Industry,Current Account Headcount,Profile Source,Comment Summary,Comment Detail
AREA 51,Stakeholders Leaving Customer Accounts,Active Customer,Active Customer,000000,Tony Blair,tonyblair@gmail.com,16500084,Tony Blair,tonyblair@gmail.com,16500084,,,,,,Vista,Georgia,Anderson,Developer,3 years,gmoore@gmail.com,active,,Distillery Events Assistant,https://www.linkedin.com/in/abdul-hannan-mujawar-2a96081a6/,,,,,2023-08-07,Pipeline Signals,1,2023,,,,,,Admin Page,"Stakeholders Leaving Customer Accounts - Georgia Anderson,Distillery Events Assistant at ","Georgia Anderson has left , 3 years ago as Distillery Events Assistant."
AREA 51,Stakeholders Being Hired In Customer Accounts,Active Customer,Active Customer,12341234,Sachin Tendulkar,sachin@gmail.com,123123,Sachin Tendulkar,sachin@gmail.com,123123,,,,,,Microsoft1231aewqe2342342,James,Solomons,Assistant,2 years,gmoore@sazerac.com,active,,Assistant,https://www.linkedin.com/in/abdul-hannan-mujawar-2a96081a6/,,,,,2023-08-09,Pipeline Signals,1,2023,,,,,,Admin Page,"Stakeholders Being Hired In Customer Accounts - James Solomons,Assistant at Mumbai In","James Solomons has joined Mumbai In, 2 years ago as Assistant. They were previously Assistant at .
"
AREA 51,Customers Moving Into Prospect Accounts,Active Customer,Active Customer,12341234,Sachin Tendulkar,sachin@gmail.com,123123,Sachin Tendulkar,sachin@gmail.com,123123,,,,,,microtestaqzzee,James,Gold,Developer,2 years,gmoore@sazerac.com,active,,Distillery Events Assistant,https://www.linkedin.com/in/abdul-hannan-mujawar-2a96081a6/,,,,,2023-08-15,Pipeline Signals,4,2023,,,,,,Admin Page,"Customers Moving Into Prospect Accounts - James Gold,Developer at Mumbai In","James Gold has joined Mumbai In, 2 years ago as Developer. They were previously the Distillery Events Assistant at  . They were in this position 4 role(s) ago, and left in 2023."
AREA 51,Stakeholders Being Hired In Customer Accounts,Active Customer,Active Customer,12341234,Sachin Tendulkar,sachin@gmail.com,123123,Sachin Tendulkar,sachin@gmail.com,123123,,,,,,abcabca,Georgia,Flamingo,CEO,3 years,gmoore@gmail.com,active,,Distillery Events Assistant,https://www.linkedin.com/in/abdul-hannan-mujawar-2a96081a6/,,,,,2023-08-01,Pipeline Signals,1,2023,,,,,,Admin Page,"Stakeholders Being Hired In Customer Accounts - Georgia Flamingo,CEO at Mumbai In","Georgia Flamingo has joined Mumbai In, 3 years ago as CEO. They were previously Distillery Events Assistant at .
"
AREA 51,Stakeholders Leaving Customer Accounts,Active Customer,Active Customer,12312312,Rahul Dravid,rdravid@gmail.com,-,Rahul Dravid,rdravid@gmail.com,-,,,,,,Applicom23423344,James Smith,Leigh Moore,Developer,8 years,gmoore@sazerac.com,active,,COO,https://www.linkedin.com/in/abdul-hannan-mujawar-2a96081a6/,,,,,2023-08-08,Pipeline Signals,4,2023,,,,,,Admin Page,"Stakeholders Leaving Customer Accounts - James Smith Leigh Moore,COO at ","James Smith Leigh Moore has left , 8 years ago as COO."
AREA 51,Stakeholders Being Hired In Customer Accounts,Active Customer,Active Customer,122343,Abdul Hannan Mujawar,abdulhannanm123@gmail.com,16500011,Abdul Hannan Mujawar,abdulhannanm123@gmail.com,16500011,,,,,,Apple345345,James,Leigh Moore,Manager,4 years,georgia@gmail.com,active,,COO,https://www.linkedin.com/in/abdul-hannan-mujawar-2a96081a6/,,,,,2023-08-02,Pipeline Signals,1,2023,,,,,,Admin Page,"Stakeholders Being Hired In Customer Accounts - James Leigh Moore,Manager at Target","James Leigh Moore has joined Target, 4 years ago as Manager. They were previously COO at .
"
AREA 51,Stakeholders Leaving Customer Accounts,Active Customer,Active Customer,12341234,Sachin Tendulkar,sachin@gmail.com,123123,Sachin Tendulkar,sachin@gmail.com,123123,,,,,,Applicom3wtwr564356123121,Georgiana Rodriguez,Goldqweqwe,Manager,3 years,reachabdulhannan@gmail.com,active,,Distillery Events Assistant,https://www.linkedin.com/in/abdul-hannan-mujawar-2a96081a6/,,,,,2023-08-31,Pipeline Signals,4,2023,,,,,,Admin Page,"Stakeholders Leaving Customer Accounts - Georgiana Rodriguez Goldqweqwe,Distillery Events Assistant at ","Georgiana Rodriguez Goldqweqwe has left , 3 years ago as Distillery Events Assistant."
AREA 51,Stakeholders Leaving Customer Accounts,Active Customer,Active Customer,12341234,Sachin Tendulkar,sachin@gmail.com,123123,Sachin Tendulkar,sachin@gmail.com,123123,,,,,,Applicom3wtwr564356345wer,Georgia,Gold,Manager,3 years,reachabdulhannan@gmail.com,active,,Distillery Events Assistant,https://www.linkedin.com/in/abdul-hannan-mujawar-2a96081a6/,,,,,2023-08-31,Pipeline Signals,4,2023,,,,,,Admin Page,"Stakeholders Leaving Customer Accounts - Georgia Gold,Distillery Events Assistant at ","Georgia Gold has left , 3 years ago as Distillery Events Assistant."
AREA 51,Stakeholders Being Hired In Customer Accounts,Active Customer,Active Customer,12341234,Sachin Tendulkar,sachin@gmail.com,123123,Sachin Tendulkar,sachin@gmail.com,123123,,,,,,Applicom323123234,James,Flamingo,Assistant,8 years,gmoore@sazerac.com,active,,Assistant,https://www.linkedin.com/in/abdul-hannan-mujawar-2a96081a6/,,,,,2023-08-04,Pipeline Signals,4,2023,,,,,,Admin Page,"Stakeholders Being Hired In Customer Accounts - James Flamingo,Assistant at Mumbai In","James Flamingo has joined Mumbai In, 8 years ago as Assistant. They were previously Assistant at .
"
AREA 51,Stakeholders Leaving Customer Accounts,Active Customer,Active Customer,12341234,Sachin Tendulkar,sachin@gmail.com,123123,Sachin Tendulkar,sachin@gmail.com,123123,,,,,,IPL123,James,Flamingo,Manager,7 years,gmoore@sazerac.com,active,,Assistant,https://www.youtube.com,,,,,2023-08-15,Pipeline Signals,4,2023,,,,,,Admin Page,"Stakeholders Leaving Customer Accounts - James Flamingo,Assistant at ","James Flamingo has left , 7 years ago as Assistant."
